api_owner	dictionary_groups	disposition
association-proposals	D03	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
audit	D13	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
catalog	D05,D06,D07,D14	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
collections	D10	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
content-structure	D10	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
custom-themes	D10	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
docks	D10	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
domain-extensions	D03	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
favorites	D11	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
feed	D15	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
governance	D13	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
health	D14	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
history	D08	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
image-assets	D08	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
messages	D12	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
notifications	D12	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
participation	D02	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
platform-access	D02	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
platform-users	D02	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
polls	D09	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
posts	D09	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
progress	D11	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
quota-policies	D14	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
reactions	D11	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
realms	D10	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
recommendations	D15	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
reports	D13	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
reviews	D09	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
schema	D14	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
search	D15	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
slug-addresses	D01	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
tags	D11	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
token-info	D02	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
tokens	D02	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
unit-presentations	D10	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
unit-resources	D01	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
units	D10	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
users	D02	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
wiki-navigation	D09	Retain endpoint responsibility; implement the referenced target contracts without implied old-wire compatibility.
